x, true, terminal
1.474747474747474918e+00,4.582135738891409460e+00,4.278050836664393231e+00
1.484848484848484862e+00,4.600991521801076622e+00,4.297563083350612878e+00
1.494949494949495028e+00,4.619808746135512401e+00,4.317031134309274876e+00
1.505050505050505194e+00,4.638587725370117099e+00,4.336455387258110861e+00
1.515151515151515138e+00,4.657328768547410291e+00,4.355836233693439752e+00
1.525252525252525304e+00,4.676032180366039626e+00,4.375174059028269724e+00
1.535353535353535470e+00,4.694698261267485684e+00,4.394469242726446012e+00
1.545454545454545414e+00,4.713327307520528642e+00,4.413722158432972442e+00
1.555555555555555580e+00,4.731919611303545103e+00,4.432933174100650575e+00
1.565656565656565746e+00,4.750475460784715054e+00,4.452102652113157255e+00
1.575757575757575690e+00,4.768995140200187777e+00,4.471230949404685795e+00
1.585858585858585856e+00,4.787478929930285787e+00,4.490318417576267152e+00
1.595959595959596022e+00,4.805927106573794738e+00,4.509365403008877671e+00
1.606060606060605966e+00,4.824339943020406807e+00,4.528372246973463078e+00
1.616161616161616355e+00,4.842717708521368181e+00,4.547339285737947989e+00
1.626262626262626299e+00,4.861060668758385717e+00,4.566266850671365063e+00
1.636363636363636465e+00,4.879369085910854054e+00,4.585155268345178392e+00
1.646464646464646631e+00,4.897643218721436043e+00,4.604004860631897955e+00
1.656565656565656575e+00,4.915883322560060442e+00,4.622815944801078381e+00
1.666666666666666741e+00,4.934089649486382179e+00,4.641588833612778409e+00
1.676767676767676907e+00,4.952262448310740695e+00,4.660323835408579640e+00
1.686868686868686851e+00,4.970401964653669680e+00,4.679021254200212532e+00
1.696969696969697017e+00,4.988508441004003480e+00,4.697681389755910430e+00
1.707070707070707183e+00,5.006582116775604163e+00,4.716304537684511189e+00
1.717171717171717127e+00,5.024623228362763427e+00,4.734890989517424487e+00
1.727272727272727293e+00,5.042632009194327303e+00,4.753441032788503939e+00
1.737373737373737459e+00,5.060608689786540992e+00,4.771954951111897714e+00
1.747474747474747403e+00,5.078553497794698224e+00,4.790433024257936268e+00
1.757575757575757791e+00,5.096466658063596888e+00,4.808875528227130935e+00
1.767676767676767735e+00,5.114348392676843602e+00,4.827282735322320661e+00
1.777777777777777679e+00,5.132198921005040937e+00,4.845654914219038822e+00
1.787878787878788067e+00,5.150018459752890188e+00,4.863992330034149880e+00
1.797979797979798011e+00,5.167807223005229211e+00,4.882295244392802935e+00
1.808080808080808177e+00,5.185565422272050640e+00,4.900563915493765244e+00
1.818181818181818343e+00,5.203293266532512895e+00,4.918798598173164116e+00
1.828282828282828287e+00,5.220990962277983982e+00,4.936999543966703818e+00
1.838383838383838453e+00,5.238658713554128710e+00,4.955167001170395658e+00
1.848484848484848619e+00,5.256296722002091748e+00,4.973301214899831457e+00
1.858585858585858563e+00,5.273905186898760533e+00,4.991402427148072363e+00
1.868686868686868729e+00,5.291484305196180848e+00,5.009470876842160081e+00
1.878787878787878896e+00,5.309034271560106433e+00,5.027506799898312728e+00
1.888888888888888840e+00,5.326555278407720806e+00,5.045510429275838149e+00
1.898989898989899228e+00,5.344047515944568616e+00,5.063481995029792238e+00
1.909090909090909172e+00,5.361511172200682296e+00,5.081421724362428449e+00
1.919191919191919116e+00,5.378946433065965316e+00,5.099329841673468700e+00
1.929292929292929504e+00,5.396353482324815154e+00,5.117206568609232065e+00
1.939393939393939448e+00,5.413732501690028620e+00,5.135052124110636385e+00
1.949494949494949614e+00,5.431083670836004629e+00,5.152866724460140269e+00
1.959595959595959780e+00,5.448407167431247089e+00,5.170650583327606853e+00
1.969696969696969724e+00,5.465703167170208765e+00,5.188403911815163916e+00
1.979797979797979890e+00,5.482971843804473444e+00,5.206126918501055911e+00
1.989898989898990056e+00,5.500213369173308386e+00,5.223819809482532328e+00
2.000000000000000000e+00,5.517427913233581727e+00,5.241482788417792804e+00
