x, branch
0.000000000000000000e+00,-1.205434728035470471e-05
1.111111119389533997e-01,1.346320379525423050e-02
2.222222238779067993e-01,1.753577962517738342e-02
3.333333432674407959e-01,1.267861109226942062e-02
4.444444477558135986e-01,5.998479202389717102e-03
5.555555820465087891e-01,1.935157109983265400e-03
6.666666865348815918e-01,4.388721135910600424e-04
7.777777910232543945e-01,6.987387314438819885e-05
8.888888955116271973e-01,8.109674126899335533e-06
1.000000000000000000e+00,5.797872972834738903e-07
