x, true, terminal
1.373737373737373701e+00,-5.775261722667012210e-01,-4.657104733951851205e-01
1.535353535353536358e+00,-5.735780436429971374e-01,-4.616913864798008471e-01
1.696969696969697239e+00,-5.696205142890006234e-01,-4.576772730443247061e-01
1.858585858585859896e+00,-5.656540692313091201e-01,-4.536686470725879161e-01
2.020202020202020776e+00,-5.616791980179823840e-01,-4.496660197129979664e-01
2.181818181818183433e+00,-5.576963944844411936e-01,-4.456698990211023781e-01
2.343434343434344314e+00,-5.537061565147765041e-01,-4.416807897055261556e-01
2.505050505050505194e+00,-5.497089857987031980e-01,-4.376991928775458285e-01
2.666666666666667851e+00,-5.457053875844057877e-01,-4.337256058045607654e-01
2.828282828282828731e+00,-5.416958704275276482e-01,-4.297605216677120588e-01
2.989898989898991388e+00,-5.376809459365623489e-01,-4.258044293238923972e-01
3.151515151515152269e+00,-5.336611285149168715e-01,-4.218578130723839581e-01
3.313131313131314926e+00,-5.296369350999141634e-01,-4.179211524263505284e-01
3.474747474747475806e+00,-5.256088848990180251e-01,-4.139949218894027894e-01
3.636363636363636687e+00,-5.215774991235613278e-01,-4.100795907374460425e-01
3.797979797979799343e+00,-5.175433007202661084e-01,-4.061756228060111051e-01
3.959595959595960224e+00,-5.135068141008478637e-01,-4.022834762832579458e-01
4.121212121212122881e+00,-5.094685648700005842e-01,-3.984036035088319716e-01
4.282828282828283761e+00,-5.054290795520612889e-01,-3.945364507787452180e-01
4.444444444444444642e+00,-5.013888853166548198e-01,-3.906824581564393162e-01
4.606060606060607299e+00,-4.973485097036234870e-01,-3.868420592901819499e-01
4.767676767676768179e+00,-4.933084803475462077e-01,-3.830156812369334696e-01
4.929292929292930836e+00,-4.892693247021517866e-01,-3.792037442928121727e-01
5.090909090909091717e+00,-4.852315697649336457e-01,-3.754066618302744351e-01
5.252525252525254373e+00,-4.811957418022699828e-01,-3.716248401421149428e-01
5.414141414141415254e+00,-4.771623660753553930e-01,-3.678586782923827236e-01
5.575757575757576134e+00,-4.731319665672449881e-01,-3.641085679742940284e-01
5.737373737373738791e+00,-4.691050657113137734e-01,-3.603748933752163319e-01
5.898989898989899672e+00,-4.650821841214282104e-01,-3.566580310487842964e-01
6.060606060606062329e+00,-4.610638403241249517e-01,-3.529583497941958248e-01
6.222222222222223209e+00,-4.570505504930883478e-01,-3.492762105427305586e-01
6.383838383838385866e+00,-4.530428281862132756e-01,-3.456119662515158009e-01
6.545454545454546746e+00,-4.490411840855349501e-01,-3.419659618045606808e-01
6.707070707070707627e+00,-4.450461257403021675e-01,-3.383385339210623899e-01
6.868686868686870284e+00,-4.410581573134657596e-01,-3.347300110709838794e-01
7.030303030303031164e+00,-4.370777793318447735e-01,-3.311407133978879203e-01
7.191919191919193821e+00,-4.331054884402291694e-01,-3.275709526490042656e-01
7.353535353535354702e+00,-4.291417771596691688e-01,-3.240210321124968873e-01
7.515151515151515582e+00,-4.251871336501928944e-01,-3.204912465618875439e-01
7.676767676767678239e+00,-4.212420414781880007e-01,-3.169818822075856080e-01
7.838383838383839120e+00,-4.173069793886720613e-01,-3.134932166554603716e-01
8.000000000000000000e+00,-4.133824210826699264e-01,-3.100255188723875510e-01
