x, true, terminal, branch, dgm, bsde
-1.933673164656844579e+00,9.900000027771036493e-01,9.775543585113233291e-01,9.913438558578491211e-01,1.002250909805297852e+00,9.888418316841125488e-01
-1.914845325148010868e+00,9.856992176659328253e-01,9.720873937674883170e-01,9.867493510246276855e-01,9.960671663284301758e-01,9.825068712234497070e-01
-1.896017485639177380e+00,9.809218686896848949e-01,9.662486971415472636e-01,9.819091558456420898e-01,9.896184802055358887e-01,9.760271906852722168e-01
-1.877189646130343670e+00,9.757155872229864579e-01,9.600648043371347029e-01,9.768298864364624023e-01,9.825268983840942383e-01,9.689725041389465332e-01
-1.858361806621510182e+00,9.701173174466197757e-01,9.535582246681707508e-01,9.713494181632995605e-01,9.759704470634460449e-01,9.623498916625976562e-01
-1.839533967112676471e+00,9.641569844075371654e-01,9.467484914577716237e-01,9.656814336776733398e-01,9.688474535942077637e-01,9.550985097885131836e-01
-1.820706127603842983e+00,9.578595991667673282e-01,9.396528122717746623e-01,9.595620036125183105e-01,9.613345265388488770e-01,9.479367136955261230e-01
-1.801878288095009273e+00,9.512465456281608001e-01,9.322865649655657228e-01,9.531887769699096680e-01,9.540177583694458008e-01,9.407956004142761230e-01
-1.783050448586175563e+00,9.443365026346264290e-01,9.246636505589056476e-01,9.465023875236511230e-01,9.465050697326660156e-01,9.333699941635131836e-01
-1.764222609077342074e+00,9.371459978560493509e-01,9.167967384022720490e-01,9.392541050910949707e-01,9.388920068740844727e-01,9.258090853691101074e-01
-1.745394769568508364e+00,9.296898618324095365e-01,9.086975062923223767e-01,9.322097897529602051e-01,9.306167364120483398e-01,9.177374839782714844e-01
-1.726566930059674876e+00,9.219815436660204755e-01,9.003767648988457717e-01,9.244627952575683594e-01,9.225729703903198242e-01,9.098185300827026367e-01
-1.707739090550841166e+00,9.140333657759214248e-01,8.918445928638024656e-01,9.163395166397094727e-01,9.145127534866333008e-01,9.018442034721374512e-01
-1.688911251042007677e+00,9.058566678326391841e-01,8.831104585396465367e-01,9.082081913948059082e-01,9.057191610336303711e-01,8.934971690177917480e-01
-1.670083411533173967e+00,8.974620186343834627e-01,8.741832763597627842e-01,8.999228477478027344e-01,8.971692919731140137e-01,8.851042985916137695e-01
-1.651255572024340257e+00,8.888592606014854569e-01,8.650715020317319981e-01,8.909325599670410156e-01,8.885840177536010742e-01,8.766201734542846680e-01
-1.632427732515506769e+00,8.800576682342043933e-01,8.557831549949931338e-01,8.818639516830444336e-01,8.798199892044067383e-01,8.677698969841003418e-01
-1.613599893006673058e+00,8.710659891253761389e-01,8.463259074674417404e-01,8.728989362716674805e-01,8.703190088272094727e-01,8.586813807487487793e-01
-1.594772053497839348e+00,8.618925222479860704e-01,8.367070953609694328e-01,8.634748458862304688e-01,8.610857129096984863e-01,8.495392799377441406e-01
-1.575944213989005860e+00,8.525451647828964363e-01,8.269337658538888913e-01,8.543457984924316406e-01,8.518522977828979492e-01,8.407287597656250000e-01
-1.557116374480172372e+00,8.430314682927553260e-01,8.170127066543221295e-01,8.446213603019714355e-01,8.420373201370239258e-01,8.314585685729980469e-01
-1.538288534971338661e+00,8.333586650443909338e-01,8.069504737179811205e-01,8.350175619125366211e-01,8.323926925659179688e-01,8.221739530563354492e-01
-1.519460695462504951e+00,8.235337096945231083e-01,7.967534090064238850e-01,8.254027366638183594e-01,8.228412866592407227e-01,8.129552006721496582e-01
-1.500632855953671463e+00,8.135633068116225886e-01,7.864276658790244623e-01,8.152500987052917480e-01,8.129163980484008789e-01,8.036819696426391602e-01
-1.481805016444837753e+00,8.034539379282299443e-01,7.759792249343316906e-01,8.054599761962890625e-01,8.022935986518859863e-01,7.940303683280944824e-01
-1.462977176936004042e+00,7.932118762368418619e-01,7.654139100937609186e-01,7.951571345329284668e-01,7.923699021339416504e-01,7.842054367065429688e-01
-1.444149337427170554e+00,7.828432142269828864e-01,7.547374027118323170e-01,7.848451137542724609e-01,7.821789979934692383e-01,7.741453051567077637e-01
-1.425321497918337066e+00,7.723538768566691193e-01,7.439552569175542640e-01,7.744231224060058594e-01,7.718753218650817871e-01,7.640933394432067871e-01
-1.406493658409503356e+00,7.617496374290870786e-01,7.330728969712509979e-01,7.639690637588500977e-01,7.609353661537170410e-01,7.538186907768249512e-01
-1.387665818900669645e+00,7.510361287389705209e-01,7.220956557730779934e-01,7.532853484153747559e-01,7.503753304481506348e-01,7.436679601669311523e-01
-1.368837979391836157e+00,7.402188677598836586e-01,7.110287565908175456e-01,7.423914074897766113e-01,7.397415637969970703e-01,7.334723472595214844e-01
-1.350010139883002447e+00,7.293032403371378924e-01,6.998773348852797005e-01,7.313238978385925293e-01,7.283908724784851074e-01,7.231839895248413086e-01
-1.331182300374168737e+00,7.182945393975695980e-01,6.886464437068401390e-01,7.202327251434326172e-01,7.176258563995361328e-01,7.126223444938659668e-01
-1.312354460865335248e+00,7.071979587916163990e-01,6.773410607934030603e-01,7.088402509689331055e-01,7.067555189132690430e-01,7.019658684730529785e-01
-1.293526621356501760e+00,6.960186046585112862e-01,6.659660952095022290e-01,6.972605586051940918e-01,6.957524418830871582e-01,6.910742521286010742e-01
-1.274698781847668050e+00,6.847615033318938949e-01,6.545263935394365351e-01,6.857609748840332031e-01,6.840245723724365234e-01,6.799937486648559570e-01
-1.255870942338834340e+00,6.734316081778045637e-01,6.430267454214453338e-01,6.741461753845214844e-01,6.730149388313293457e-01,6.691809892654418945e-01
-1.237043102830000851e+00,6.620338060596283603e-01,6.314718892399759920e-01,6.624308824539184570e-01,6.617023944854736328e-01,6.581193208694458008e-01
-1.218215263321167141e+00,6.505729233644546028e-01,6.198665168259716030e-01,6.506555080413818359e-01,6.499531865119934082e-01,6.470634937286376953e-01
-1.199387423812333431e+00,6.390537314610263975e-01,6.082152802357195798e-01,6.390598416328430176e-01,6.386610865592956543e-01,6.357740163803100586e-01
-1.180559584303499943e+00,6.274809521643759380e-01,5.965227868819431567e-01,6.272901296615600586e-01,6.271709203720092773e-01,6.243668794631958008e-01
-1.161731744794666454e+00,6.158592624123752080e-01,5.847936211254743943e-01,6.154637336730957031e-01,6.157554388046264648e-01,6.128567457199096680e-01
-1.142903905285832522e+00,6.041933023581063100e-01,5.730323328681350414e-01,6.038888692855834961e-01,6.036972403526306152e-01,6.013576984405517578e-01
-1.124076065776999034e+00,5.924876631480662237e-01,5.612434446595562232e-01,5.923722982406616211e-01,5.922226309776306152e-01,5.898507833480834961e-01
-1.105248226268165546e+00,5.807469233814089860e-01,5.494314731760167048e-01,5.808092951774597168e-01,5.806790590286254883e-01,5.785292983055114746e-01
-1.086420386759331835e+00,5.689756221830910565e-01,5.376008899527922047e-01,5.693677663803100586e-01,5.685075521469116211e-01,5.671070218086242676e-01
-1.067592547250498125e+00,5.571782776647811186e-01,5.257561714068471614e-01,5.577600002288818359e-01,5.568619966506958008e-01,5.555838942527770996e-01
-1.048764707741664637e+00,5.453593906699450988e-01,5.139017819085853755e-01,5.453668832778930664e-01,5.451552867889404297e-01,5.435057878494262695e-01
-1.029936868232830927e+00,5.335234351327909907e-01,5.020421765830385130e-01,5.328826904296875000e-01,5.335752964019775391e-01,5.320240259170532227e-01
