runtime,l1_error,l2_error,rel_error
5.731312656402587891e+01,1.531287562213373477e+00,2.888990804666412782e+00,6.069575726038867636e+00
5.719524526596069336e+01,3.794048344259633776e+00,1.497055330188059941e+01,1.261238721205444513e+01
6.728283762931823730e+01,2.219487345621920404e+00,5.472867432295107193e+00,7.049817792643019665e+00
5.947626233100891113e+01,1.980788051793024085e+00,4.305733545177148791e+00,6.794773334138681342e+00
5.783003735542297363e+01,nan,nan,nan
5.778608441352844238e+01,nan,nan,nan
6.335004925727844238e+01,3.882602080703739134e+00,1.653081762106974040e+01,1.354553842536037855e+01
6.334364652633666992e+01,2.537502813348219366e+00,6.986781063429029714e+00,8.740857636737063174e+00
5.737095355987548828e+01,2.014022174582815961e+00,4.298129773565696254e+00,6.331816735885720249e+00
5.991573381423950195e+01,2.267235106720510096e+00,6.006435009402304459e+00,8.842675206862892878e+00
