x, true, terminal
-3.000000000000000000e+00,-9.422223406686580649e-01,-9.899924966004454152e-01
-2.939393939393939448e+00,-9.202025486934006793e-01,-9.796273921267035778e-01
-2.878787878787878896e+00,-8.948038001809127673e-01,-9.656651248485589312e-01
-2.818181818181818343e+00,-8.661193585843827147e-01,-9.481569637984230692e-01
-2.757575757575757791e+00,-8.342545523248053874e-01,-9.271671984257428001e-01
-2.696969696969696795e+00,-7.993263880281361589e-01,-9.027729025280442077e-01
-2.636363636363636243e+00,-7.614631208804226725e-01,-8.750636512382280463e-01
-2.575757575757575690e+00,-7.208037836785541330e-01,-8.441411921073311841e-01
-2.515151515151515138e+00,-6.774976763059450402e-01,-8.101190714905293078e-01
-2.454545454545454586e+00,-6.317038175077799300e-01,-7.731222176082798159e-01
-2.393939393939394034e+00,-5.835903609788846147e-01,-7.332864818135917950e-01
-2.333333333333333037e+00,-5.333339779083332566e-01,-6.907581397498760989e-01
-2.272727272727272485e+00,-4.811192082480697518e-01,-6.456933542311115160e-01
-2.212121212121211933e+00,-4.271377830876609272e-01,-5.982576018166093634e-01
-2.151515151515151381e+00,-3.715879206234092846e-01,-5.486250651859839733e-01
-2.090909090909090828e+00,-3.146735983069986475e-01,-4.969779935455057585e-01
-2.030303030303030276e+00,-2.566038038463269721e-01,-4.435060334144070304e-01
-1.969696969696969724e+00,-1.975917678088243423e-01,-3.884055322484735728e-01
-1.909090909090909172e+00,-1.378541806451174245e-01,-3.318788174579952455e-01
-1.848484848484848397e+00,-7.761039700810476449e-02,-2.741334534675005652e-01
-1.787878787878787845e+00,-1.708163028916112602e-02,-2.153814795453309894e-01
-1.727272727272727293e+00,4.350985967089292250e-02,-1.558386312017186470e-01
-1.666666666666666519e+00,1.039415827133509523e-01,-9.572354801437543692e-02
-1.606060606060605966e+00,1.639916353389010706e-01,-3.525697079043223214e-02
-1.545454545454545414e+00,2.234395155307122016e-01,2.533906898727637108e-02
-1.484848484848484862e+00,2.820669324313163084e-01,8.584206445324789325e-02
-1.424242424242424310e+00,3.396586079001795433e-01,1.460298503979400864e-01
-1.363636363636363535e+00,3.960030670086661098e-01,2.056814190518485019e-01
-1.303030303030302983e+00,4.508934145697195972e-01,2.645777316194973250e-01
-1.242424242424242431e+00,5.041280948508706228e-01,3.225025225834181053e-01
-1.181818181818181657e+00,5.555116316809234345e-01,3.792430938247314254e-01
-1.121212121212121104e+00,6.048553462326733410e-01,4.345910956443470030e-01
-1.060606060606060552e+00,6.519780498459796236e-01,4.883432918168963965e-01
-1.000000000000000000e+00,6.967067093471653871e-01,5.403023058681397650e-01
-9.393939393939394478e-01,7.388770824217121280e-01,5.902773458355402569e-01
-8.787878787878788955e-01,7.783343207071806713e-01,6.380849048507067911e-01
-8.181818181818183433e-01,8.149335383918167031e-01,6.835494349711863649e-01
-7.575757575757573470e-01,8.485403442309660260e-01,7.265039917873153952e-01
-6.969696969696967948e-01,8.790313350277485505e-01,7.667908474371526450e-01
-6.363636363636362425e-01,9.062945487659478383e-01,8.042620697785241024e-01
-5.757575757575756903e-01,9.302298757312217337e-01,8.387800655914716685e-01
-5.151515151515151381e-01,9.507494261110122080e-01,8.702180858164869637e-01
-4.545454545454545858e-01,9.677778527233372730e-01,8.984606909733078295e-01
-3.939393939393940336e-01,9.812526276894137922e-01,9.234041750512754776e-01
-3.333333333333330373e-01,9.911242720341794099e-01,9.449569463147378112e-01
-2.727272727272724850e-01,9.973565373716243299e-01,9.630398636251923383e-01
-2.121212121212119328e-01,9.999265390077934912e-01,9.775865270452068767e-01
-1.515151515151513806e-01,9.988248399727049920e-01,9.885435216570247485e-01
-9.090909090909082835e-02,9.940554856726250277e-01,9.958706137005628456e-01
-3.030303030303027612e-02,9.856359890354556841e-01,9.995408983105884548e-01
3.030303030303027612e-02,9.735972662037820635e-01,9.995408983105884548e-01
9.090909090909082835e-02,9.579835230117104139e-01,9.958706137005628456e-01
1.515151515151513806e-01,9.388520926623541429e-01,9.885435216570247485e-01
2.121212121212123769e-01,9.162732252020068247e-01,9.775865270452067657e-01
2.727272727272729291e-01,8.903298295640519333e-01,9.630398636251921163e-01
3.333333333333334814e-01,8.611171691298102893e-01,9.449569463147375892e-01
3.939393939393940336e-01,8.287425119242229909e-01,9.234041750512754776e-01
4.545454545454545858e-01,7.933247367308369213e-01,8.984606909733078295e-01
5.151515151515151381e-01,7.549938965724283246e-01,8.702180858164869637e-01
5.757575757575756903e-01,7.138907411601500552e-01,8.387800655914716685e-01
6.363636363636366866e-01,6.701662000647559125e-01,8.042620697785237693e-01
6.969696969696972388e-01,6.239808285076826611e-01,7.667908474371523120e-01
7.575757575757577911e-01,5.755042178070249870e-01,7.265039917873150621e-01
8.181818181818183433e-01,5.249143726432332624e-01,6.835494349711863649e-01
8.787878787878788955e-01,4.723970574311924242e-01,6.380849048507067911e-01
9.393939393939394478e-01,4.181451141987858056e-01,5.902773458355402569e-01
1.000000000000000000e+00,3.623577544766736214e-01,5.403023058681397650e-01
1.060606060606060552e+00,3.052398277994453069e-01,4.883432918168963965e-01
1.121212121212121104e+00,2.470010695041884308e-01,4.345910956443470030e-01
1.181818181818181657e+00,1.878553305885353741e-01,3.792430938247314254e-01
1.242424242424242209e+00,1.280197924561262135e-01,3.225025225834183273e-01
