x, branch
-4.000000000000000000e+00,2.592023849487304688e+00
-3.111111164093017578e+00,2.054931640625000000e+00
-2.222222328186035156e+00,1.373320937156677246e+00
-1.333333253860473633e+00,5.655938386917114258e-01
-4.444444179534912109e-01,1.727394759654998779e-02
4.444444179534912109e-01,5.499988794326782227e-01
1.333333253860473633e+00,1.502643108367919922e+00
2.222222328186035156e+00,2.112849235534667969e+00
3.111111164093017578e+00,2.644071817398071289e+00
4.000000000000000000e+00,3.050074338912963867e+00
