x, true, terminal
5.553320347254686595e-02,1.567996048761503836e-01,5.559036094278586165e-02
7.139983303613173238e-02,1.730982500804475466e-01,7.152141155879711276e-02
8.726646259971648778e-02,1.894866774000117660e-01,8.748866352592402085e-02
1.031330921633013542e-01,2.059739543100321535e-01,1.035003107343850232e-01
1.189997217268861096e-01,2.225693582143384308e-01,1.195646375631482655e-01
1.348663512904709760e-01,2.392823982808111316e-01,1.356900362529321613e-01
1.507329808540557314e-01,2.561228383547715648e-01,1.518850247513868768e-01
1.665996104176405979e-01,2.731007210724498702e-01,1.681582651124850780e-01
1.824662399812253533e-01,2.902263933065517554e-01,1.845185825363706567e-01
1.983328695448102197e-01,3.075105330871548137e-01,2.009749851408558774e-01
2.141994991083949751e-01,3.249641781537888630e-01,2.175366845614490341e-01
2.300661286719798415e-01,3.425987563087812826e-01,2.342131174833380625e-01
2.459327582355645969e-01,3.604261177579533015e-01,2.510139682161939834e-01
2.617993877991495744e-01,3.784585696427806289e-01,2.679491924311228623e-01
2.776660173627343298e-01,3.967089129884169285e-01,2.850290421886519932e-01
2.935326469263190852e-01,4.151904823148426238e-01,3.022640923974523330e-01
3.093992764899038406e-01,4.339171881841593081e-01,3.196652688556668176e-01
3.252659060534888180e-01,4.529035629861254963e-01,3.372438780404460879e-01
3.411325356170735734e-01,4.721648102968515892e-01,3.550116388267322565e-01
3.569991651806583288e-01,4.917168581826951712e-01,3.729807163337255926e-01
3.728657947442430842e-01,5.115764168634074904e-01,3.911637581170362976e-01
3.887324243078280617e-01,5.317610411962238048e-01,4.095739329465780676e-01
4.045990538714128171e-01,5.522891984966628032e-01,4.282249724351010478e-01
4.204656834349975725e-01,5.731803422732981712e-01,4.471312158102919709e-01
4.363323129985823279e-01,5.944549925237966326e-01,4.663076581549985278e-01
4.521989425621673053e-01,6.161348233194340329e-01,4.857700024759027402e-01
4.680655721257520607e-01,6.382427584966400280e-01,5.055347160014268537e-01
4.839322016893368161e-01,6.608030763787330342e-01,5.256190911555137513e-01
4.997988312529217936e-01,6.838415245710379731e-01,5.460413117059499388e-01
5.156654608165065490e-01,7.073854460106090425e-01,5.668205246450421786e-01
5.315320903800913044e-01,7.314639176108329588e-01,5.879769184277846561e-01
5.473987199436760598e-01,7.561079030248634147e-01,6.095318082694120010e-01
5.632653495072610372e-01,7.813504212644706293e-01,6.315077292919537566e-01
5.791319790708457926e-01,8.072267331575916360e-01,6.539285384097744958e-01
5.949986086344305480e-01,8.337745479148395145e-01,6.768195259592127977e-01
6.108652381980153034e-01,8.610342524098718586e-01,7.002075382097097123e-01
6.267318677616002809e-01,8.890491661698247672e-01,7.241211120461615858e-01
6.425984973251850363e-01,9.178658255307995395e-01,7.485906232880388256e-01
6.584651268887697917e-01,9.475343009528706117e-01,7.736484503141870528e-01
6.743317564523545471e-01,9.781085521252808057e-01,7.993291548980109296e-01
6.901983860159395245e-01,1.009646826245132578e+00,8.256696824318201511e-01
7.060650155795242799e-01,1.042212105746058493e+00,8.527095840384627534e-01
7.219316451431090353e-01,1.075872612816891172e+00,8.804912634414869821e-01
7.377982747066940128e-01,1.110702379321086841e+00,9.090602519021617756e-01
7.536649042702787682e-01,1.146781892251454549e+00,9.384655150452012595e-01
7.695315338338635236e-01,1.184198826688867667e+00,9.687597960000926545e-01
7.853981633974482790e-01,1.223048880449865150e+00,9.999999999999998890e-01
