,T,branch,deep_bsde,exact,branch time (seconds),deep_bsde time (seconds)
0,0.05,-0.5188323974609375,-0.5198305026575903,-0.5187412158785353,9.760819435119629,68.60964918136597
1,0.1,-0.5373180389404297,-0.5371689701766098,-0.5374298453437496,9.517024755477905,69.01296997070312
2,0.15000000000000002,-0.5557456493377686,-0.5541341056827624,-0.5560138905446199,9.510311841964722,71.27020907402039
3,0.2,-0.5741106033325195,-0.5747044048986693,-0.574442516811659,9.54498553276062,68.19287323951721
4,0.25,-0.5924044609069824,-0.5936061039242422,-0.5926665999540698,9.567631483078003,68.49109768867493
5,0.3,-0.6106158256530761,-0.6151489355643995,-0.6106392339492219,9.553408861160278,69.16287732124329
6,0.35000000000000003,-0.6287313938140869,-0.6343962272086534,-0.6283161882953663,9.551005840301514,69.40623188018799
7,0.4,-0.6467366695404053,-0.6533240352660235,-0.6456563062257954,9.540397882461548,68.75856733322144
8,0.45,-0.6646162509918213,-0.6707163156799082,-0.6626218371700825,9.814144611358643,69.88191199302673
9,0.5,-0.6823549270629883,-0.6889922129265006,-0.679178699175393,9.530863046646118,69.60280871391296
10,0.55,-0.6999373435974121,-0.7104098462873867,-0.6952966693475654,9.546282529830933,69.83915114402771
11,0.6000000000000001,-0.7173487186431885,-0.7270002752180421,-0.710949502625004,9.499195098876953,69.17642426490784
12,0.6500000000000001,-0.7345748901367187,-0.7424467307809997,-0.7261149812607792,9.540922164916992,72.2893590927124
13,0.7000000000000001,-0.7516022205352784,-0.7570818274301008,-0.740774899182154,9.918354511260986,69.89711499214172
14,0.7500000000000001,-0.7684179306030273,,-0.7549149868676284,9.477536678314209,69.72238850593567
15,0.8,-0.7786998271942138,-0.7881002569040708,-0.7685247834990176,9.513787508010864,70.9279944896698
16,0.8500000000000001,-0.7943952560424805,-0.8014375459899407,-0.7815974639023655,9.571641683578491,69.42583990097046
17,0.9000000000000001,-0.8098484992980957,,-0.7941296281990526,9.468186855316162,70.80085706710815
18,0.9500000000000001,-0.8324414253234863,-0.8302765149383915,-0.8061210621761401,9.551562786102295,70.14316082000732
19,1.0,-0.8482937812805176,,-0.8175744761936437,9.541589736938477,71.7706880569458
20,1.05,-0.8639322280883789,-0.596611075124826,-0.8284952300245991,9.56987977027893,69.1551444530487
21,1.1,-0.8793499946594239,-0.7987106502392048,-0.8388910504234148,9.493286371231079,69.61213564872742
22,1.1500000000000001,-0.8945405006408691,-0.4923854263663289,-0.8487717474909258,9.544284105300903,70.2879228591919
23,1.2000000000000002,-0.900085163116455,-0.5309444294308043,-0.8581489350995123,9.552668571472168,69.40895700454712
24,1.2500000000000002,-0.9141521453857422,-0.5285772148202416,-0.8670357598021708,9.486498355865479,69.63238024711609
25,1.3,-0.9279644012451171,,-0.8754466418125835,9.49627423286438,69.11635398864746
26,1.35,-0.9415170669555664,,-0.8833970308388607,9.469877004623413,71.03937125205994
27,1.4000000000000001,-0.9659414291381836,-0.47322260592910603,-0.8909031788043871,9.475476026535034,69.3833692073822
28,1.4500000000000002,-0.9801071166992188,,-0.8979819308108696,9.486595392227173,69.79834079742432
29,1.5000000000000002,-0.9940651893615723,,-0.9046505351008906,9.45897912979126,70.37070631980896
30,1.55,-1.007812213897705,,-0.9109264722644368,9.490048170089722,70.14182686805725
31,1.6,-1.02134428024292,,-0.9168273035060777,9.49168872833252,69.5189847946167
32,1.6500000000000001,-1.0475432395935058,,-0.9223705374435116,9.487871170043945,70.18244528770447
33,1.7000000000000002,-1.0617276191711427,,-0.9275735146384823,9.475834846496582,70.05937576293945
34,1.7500000000000002,-1.0757380485534669,,-0.9324533088603709,9.467689514160156,71.52929949760437
35,1.8,-1.089571762084961,,-0.9370266439430035,9.467904329299927,69.91768455505371
36,1.85,-1.1032257080078125,,-0.9413098250079088,9.52203917503357,69.88892126083374
37,1.9000000000000001,-1.1166973114013672,,-0.9453186827840592,9.458353757858276,70.42963314056396
38,1.9500000000000002,-1.1299839973449708,,-0.9490685297470565,9.458751440048218,69.7929937839508
39,2.0,-1.1277487754821778,,-0.9525741268224333,9.479704856872559,70.6657977104187
