x, branch
0.000000000000000000e+00,-1.168848757515661418e-05
5.000000074505805969e-02,2.209565369412302971e-03
1.000000014901161194e-01,2.829387784004211426e-03
1.500000059604644775e-01,1.973154721781611443e-03
2.000000029802322388e-01,9.024348109960556030e-04
2.500000000000000000e-01,2.824892580974847078e-04
3.000000119209289551e-01,6.251056038308888674e-05
3.499999940395355225e-01,9.555928045301698148e-06
4.000000059604644775e-01,2.852648890439013485e-07
4.499999880790710449e-01,9.378284815397819330e-10
5.000000000000000000e-01,7.017899174115160843e-13
