x, true, terminal, branch, dgm, bsde
-4.121212121212121104e+00,-9.923942213452703331e-01,-9.840342063345109969e-01,-9.909760355949401855e-01,-9.919997453689575195e-01,-9.911156892776489258e-01
-3.959595959595959336e+00,-9.910720104379610040e-01,-9.812860718046186870e-01,-9.894582629203796387e-01,-9.906302690505981445e-01,-9.898242950439453125e-01
-3.797979797979797567e+00,-9.895223693167103374e-01,-9.780754499402495306e-01,-9.875276684761047363e-01,-9.891565442085266113e-01,-9.884885549545288086e-01
-3.636363636363635798e+00,-9.877070915007377661e-01,-9.743284136501729753e-01,-9.853922128677368164e-01,-9.873620271682739258e-01,-9.862748384475708008e-01
-3.474747474747474030e+00,-9.855818944341115939e-01,-9.699606546598432688e-01,-9.830335378646850586e-01,-9.852491617202758789e-01,-9.841277003288269043e-01
-3.313131313131313149e+00,-9.830955815114004182e-01,-9.648765549480192716e-01,-9.803738594055175781e-01,-9.827369451522827148e-01,-9.814551472663879395e-01
-3.151515151515151381e+00,-9.801891374884015296e-01,-9.589683814952453256e-01,-9.773743748664855957e-01,-9.799998998641967773e-01,-9.780866503715515137e-01
-2.989898989898989612e+00,-9.767947723944170324e-01,-9.521157051695643414e-01,-9.739049077033996582e-01,-9.765130877494812012e-01,-9.746421575546264648e-01
-2.828282828282827843e+00,-9.728349397225322104e-01,-9.441851769246105697e-01,-9.701989293098449707e-01,-9.726579785346984863e-01,-9.704123735427856445e-01
-2.666666666666666075e+00,-9.682213690407697193e-01,-9.350308308713358718e-01,-9.653815031051635742e-01,-9.680020213127136230e-01,-9.652727842330932617e-01
-2.505050505050504306e+00,-9.628541719657063291e-01,-9.244951215841266112e-01,-9.601052403450012207e-01,-9.626644253730773926e-01,-9.597008824348449707e-01
-2.343434343434342537e+00,-9.566211042706767032e-01,-9.124109373658961797e-01,-9.540029764175415039e-01,-9.565442800521850586e-01,-9.530311822891235352e-01
-2.181818181818181657e+00,-9.493970960206847831e-01,-8.986048543325192428e-01,-9.468523859977722168e-01,-9.493112564086914062e-01,-9.455149769783020020e-01
-2.020202020202019888e+00,-9.410441956182433731e-01,-8.829018968282589253e-01,-9.386203885078430176e-01,-9.408782720565795898e-01,-9.367300868034362793e-01
-1.858585858585858119e+00,-9.314121109407346166e-01,-8.651320331909122530e-01,-9.288669824600219727e-01,-9.312917590141296387e-01,-9.272829294204711914e-01
-1.696969696969696351e+00,-9.203395680117469890e-01,-8.451385453887021448e-01,-9.175989031791687012e-01,-9.202893376350402832e-01,-9.162291288375854492e-01
-1.535353535353534582e+00,-9.076567390479040043e-01,-8.227882504972027222e-01,-9.046428799629211426e-01,-9.075102806091308594e-01,-9.041412472724914551e-01
-1.373737373737372813e+00,-8.931890082613872517e-01,-7.979833114578940290e-01,-8.898318409919738770e-01,-8.931236267089843750e-01,-8.898426890373229980e-01
-1.212121212121211933e+00,-8.767623329441829316e-01,-7.706740578775718165e-01,-8.732728958129882812e-01,-8.766983151435852051e-01,-8.733180165290832520e-01
-1.050505050505050164e+00,-8.582104034444000273e-01,-7.408718709475455855e-01,-8.549617528915405273e-01,-8.582730293273925781e-01,-8.546484708786010742e-01
-8.888888888888883955e-01,-8.373836916384680418e-01,-7.086608250294353928e-01,-8.350933790206909180e-01,-8.374662399291992188e-01,-8.334696888923645020e-01
-7.272727272727266268e-01,-8.141602888156842521e-01,-6.742065062693058941e-01,-8.133047819137573242e-01,-8.142464756965637207e-01,-8.104825019836425781e-01
-5.656565656565648581e-01,-7.884581645733358402e-01,-6.377603475050883652e-01,-7.888681292533874512e-01,-7.886106371879577637e-01,-7.856875658035278320e-01
-4.040404040404030894e-01,-7.602481392461897247e-01,-5.996580223598887427e-01,-7.615142464637756348e-01,-7.605778574943542480e-01,-7.592496275901794434e-01
-2.424242424242422089e-01,-7.295664896054883108e-01,-5.603109789415779973e-01,-7.311714291572570801e-01,-7.299647927284240723e-01,-7.312549352645874023e-01
-8.080808080808044025e-02,-6.965257671452720345e-01,-5.201910342008077004e-01,-6.979936361312866211e-01,-6.970041990280151367e-01,-7.011007070541381836e-01
8.080808080808132843e-02,-6.613221927835344349e-01,-4.798089657991920776e-01,-6.629024147987365723e-01,-6.618193387985229492e-01,-6.683673858642578125e-01
2.424242424242439853e-01,-6.242380037340861110e-01,-4.396890210584215031e-01,-6.260235309600830078e-01,-6.248699426651000977e-01,-6.322735548019409180e-01
4.040404040404048658e-01,-5.856374497802564472e-01,-4.003419776401108132e-01,-5.877893567085266113e-01,-5.863764882087707520e-01,-5.934259891510009766e-01
5.656565656565657463e-01,-5.459557911719563617e-01,-3.622396524949113572e-01,-5.478780865669250488e-01,-5.467946529388427734e-01,-5.538834333419799805e-01
7.272727272727284031e-01,-5.056815736258298832e-01,-3.257934937306937173e-01,-5.067294239997863770e-01,-5.066773891448974609e-01,-5.149950385093688965e-01
8.888888888888892836e-01,-4.653334866465960173e-01,-2.913391749705643852e-01,-4.660836756229400635e-01,-4.664093554019927979e-01,-4.766004979610443115e-01
1.050505050505051940e+00,-4.254340240389038463e-01,-2.591281290524540815e-01,-4.263195395469665527e-01,-4.263859391212463379e-01,-4.383606016635894775e-01
1.212121212121212821e+00,-3.864827341771588376e-01,-2.293259421224280170e-01,-3.874374628067016602e-01,-3.874972760677337646e-01,-4.005326330661773682e-01
1.373737373737373701e+00,-3.489319220527987708e-01,-2.020166885421057490e-01,-3.496299684047698975e-01,-3.499077856540679932e-01,-3.632101714611053467e-01
