runtime,l1_error,l2_error,rel_error
3.624829816818237305e+01,2.920935148526601112e-03,1.260827953610388472e-05,2.101996768260498000e-02
3.641194748878479004e+01,2.073819733323122028e-03,8.532158385224720748e-06,1.539822159809661924e-02
3.652097296714782715e+01,2.481165999155334877e-03,1.156438887494927391e-05,1.822453897802376460e-02
3.830891752243041992e+01,2.741527920815193305e-03,1.407850181084080850e-05,2.337305339690895142e-02
3.746988463401794434e+01,2.304815654380083095e-03,9.650438195859332421e-06,1.614189433436336030e-02
3.828566026687622070e+01,2.687620393934205074e-03,1.496046959410974136e-05,1.977441219700779712e-02
3.873628449440002441e+01,3.121025550505523907e-03,1.461416925234998686e-05,1.821657543740752214e-02
3.465633177757263184e+01,2.636892074218428767e-03,1.388728129995287229e-05,1.952006862931798467e-02
3.512523078918457031e+01,2.818302394526841712e-03,1.314071774547221549e-05,2.231695103237105182e-02
3.417611575126647949e+01,2.943626524927781332e-03,1.785372947327923323e-05,2.223087973757715413e-02
