x, true, terminal, branch, bsde
1.000000000000000000e+02,2.104638092751044454e+01,2.000000000000001421e+01,2.105095863342285156e+01,1.979565811157226562e+01
1.010101010101010104e+02,2.115240870649824245e+01,2.010075630518425172e+01,2.115774917602539062e+01,1.989602279663085938e+01
1.020202020202020208e+02,2.125790765874219446e+01,2.020101007575632224e+01,2.126387023925781250e+01,1.999793624877929688e+01
1.030303030303030312e+02,2.136288561895320015e+01,2.030076875690210159e+01,2.136018562316894531e+01,2.010006713867187500e+01
1.040404040404040416e+02,2.146735023027632749e+01,2.040003961176586955e+01,2.146406936645507812e+01,2.019968223571777344e+01
1.050505050505050519e+02,2.157130895078489274e+01,2.049882972762154409e+01,2.156984329223632812e+01,2.029985427856445312e+01
1.060606060606060623e+02,2.167476905969426682e+01,2.059714602177750464e+01,2.167278289794921875e+01,2.039896202087402344e+01
1.070707070707070727e+02,2.177773766330991734e+01,2.069499524722894890e+01,2.177727890014648438e+01,2.049370574951171875e+01
1.080808080808080831e+02,2.188022170072357042e+01,2.079238399807085003e+01,2.188370895385742188e+01,2.058641433715820312e+01
1.090909090909090935e+02,2.198222794927034229e+01,2.088931871468375334e+01,2.198303031921386719e+01,2.067570877075195312e+01
1.101010101010101039e+02,2.208376302975898398e+01,2.098580568870399432e+01,2.209077262878417969e+01,2.076201629638671875e+01
1.111111111111111143e+02,2.218483341148670718e+01,2.108185106778920570e+01,2.218148040771484375e+01,2.085062599182128906e+01
1.121212121212121247e+02,2.228544541704932058e+01,2.117746086018928153e+01,2.228719711303710938e+01,2.093634796142578125e+01
1.131313131313131350e+02,2.238560522695672006e+01,2.127264093913243315e+01,2.238007736206054688e+01,2.102311325073242188e+01
1.141414141414141454e+02,2.248531888406342460e+01,2.136739704703539644e+01,2.248601722717285156e+01,2.111106491088867188e+01
1.151515151515151558e+02,2.258459229782301492e+01,2.146173479954640584e+01,2.258950614929199219e+01,2.119994163513183594e+01
1.161616161616161662e+02,2.268343124837497271e+01,2.155565968942878641e+01,2.268541145324707031e+01,2.128901100158691406e+01
1.171717171717171766e+02,2.278184139047196410e+01,2.164917709029304760e+01,2.278602981567382812e+01,2.137851333618164062e+01
1.181818181818181870e+02,2.287982825725510239e+01,2.174229226018437089e+01,2.288171768188476562e+01,2.146749496459960938e+01
1.191919191919191974e+02,2.297739726388427073e+01,2.183501034503252569e+01,2.298671340942382812e+01,2.155444145202636719e+01
1.202020202020202078e+02,2.307455371103033670e+01,2.192733638197037038e+01,2.306646347045898438e+01,2.163943099975585938e+01
1.212121212121212182e+02,2.317130278823552203e+01,2.201927530252722320e+01,2.317350387573242188e+01,2.172321701049804688e+01
1.222222222222222285e+02,2.326764957714807025e+01,2.211083193570268079e+01,2.326712036132812500e+01,2.180570411682128906e+01
1.232323232323232389e+02,2.336359905463681130e+01,2.220201101092631646e+01,2.336689376831054688e+01,2.188682937622070312e+01
1.242424242424242493e+02,2.345915609579111560e+01,2.229281716090852328e+01,2.345762252807617188e+01,2.196824264526367188e+01
1.252525252525252597e+02,2.355432547681128241e+01,2.238325492438714903e+01,2.354955291748046875e+01,2.204862785339355469e+01
1.262626262626262701e+02,2.364911187779423685e+01,2.247332874877475106e+01,2.365075683593750000e+01,2.212937355041503906e+01
1.272727272727272805e+02,2.374351988541917891e+01,2.256304299271065972e+01,2.374491500854492188e+01,2.221189308166503906e+01
1.282828282828282909e+02,2.383755399553744780e+01,2.265240192852214562e+01,2.383708381652832031e+01,2.229449272155761719e+01
1.292929292929293013e+02,2.393121861567084352e+01,2.274140974459845665e+01,2.392862510681152344e+01,2.237961578369140625e+01
1.303030303030303116e+02,2.402451806742225315e+01,2.283007054768166810e+01,2.402505111694335938e+01,2.246485900878906250e+01
1.313131313131313220e+02,2.411745658880234444e+01,2.291838836507763588e+01,2.411844253540039062e+01,2.254929542541503906e+01
1.323232323232323324e+02,2.421003833647590753e+01,2.300636714679069073e+01,2.420942306518554688e+01,2.263460731506347656e+01
1.333333333333333428e+02,2.430226738793112062e+01,2.309401076758504701e+01,2.429360389709472656e+01,2.271819496154785156e+01
1.343434343434343532e+02,2.439414774357505067e+01,2.318132302897610941e+01,2.439187240600585938e+01,2.280198097229003906e+01
1.353535353535353636e+02,2.448568332875836617e+01,2.326830766115451965e+01,2.447685050964355469e+01,2.288376998901367188e+01
1.363636363636363740e+02,2.457687799573213994e+01,2.335496832484570362e+01,2.457472610473632812e+01,2.296506118774414062e+01
1.373737373737373844e+02,2.466773552553963711e+01,2.344130861310755165e+01,2.466043281555175781e+01,2.304479408264160156e+01
1.383838383838383947e+02,2.475825962984550088e+01,2.352733205306870801e+01,2.474987411499023438e+01,2.312455368041992188e+01
1.393939393939394051e+02,2.484845395270508561e+01,2.361304210760990330e+01,2.484104919433593750e+01,2.320404434204101562e+01
1.404040404040404155e+02,2.493832207227607967e+01,2.369844217699050049e+01,2.493235588073730469e+01,2.328326797485351562e+01
1.414141414141414259e+02,2.502786750247491199e+01,2.378353560042253889e+01,2.502747535705566406e+01,2.336106491088867188e+01
1.424242424242424363e+02,2.511709369457993546e+01,2.386832565759421598e+01,2.510620117187500000e+01,2.344002914428710938e+01
1.434343434343434467e+02,2.520600403878358975e+01,2.395281557014486751e+01,2.520505905151367188e+01,2.352073287963867188e+01
1.444444444444444571e+02,2.529460186569541591e+01,2.403700850309327564e+01,2.529044532775878906e+01,2.360025405883789062e+01
1.454545454545454675e+02,2.538289044779789450e+01,2.412090756622110632e+01,2.537722778320312500e+01,2.368093681335449219e+01
1.464646464646464779e+02,2.547087300085682315e+01,2.420451581541317765e+01,2.546438217163085938e+01,2.376297187805175781e+01
1.474747474747474882e+02,2.555855268528803848e+01,2.428783625395623247e+01,2.555671882629394531e+01,2.384403610229492188e+01
1.484848484848484986e+02,2.564593260748206305e+01,2.437087183379771105e+01,2.564797592163085938e+01,2.392824935913085938e+01
1.494949494949494806e+02,2.573301582108826935e+01,2.445362545676609400e+01,2.573128318786621094e+01,2.401177978515625000e+01
1.505050505050505194e+02,2.581980532826005970e+01,2.453609997575414781e+01,2.581774902343750000e+01,2.409664726257324219e+01
1.515151515151515014e+02,2.590630408086251890e+01,2.461829819586655788e+01,2.590096473693847656e+01,2.418253135681152344e+01
1.525252525252525402e+02,2.599251498164388252e+01,2.470022287553314655e+01,2.598803710937500000e+01,2.426808929443359375e+01
1.535353535353535221e+02,2.607844088537213523e+01,2.478187672758895133e+01,2.607566833496093750e+01,2.435402107238769531e+01
1.545454545454545610e+02,2.616408459993806801e+01,2.486326242032245659e+01,2.616285705566406250e+01,2.444245338439941406e+01
1.555555555555555429e+02,2.624944888742587779e+01,2.494438257849295582e+01,2.624961853027343750e+01,2.453016281127929688e+01
1.565656565656565817e+02,2.633453646515258484e+01,2.502523978431829477e+01,2.632563209533691406e+01,2.461848258972167969e+01
1.575757575757575637e+02,2.641935000667727707e+01,2.510583657843392658e+01,2.641016006469726562e+01,2.470684432983398438e+01
1.585858585858586025e+02,2.650389214278133565e+01,2.518617546082444036e+01,2.649637413024902344e+01,2.479449081420898438e+01
1.595959595959595845e+02,2.658816546242055878e+01,2.526625889172829886e+01,2.658969116210937500e+01,2.488329124450683594e+01
1.606060606060606233e+02,2.667217251365027408e+01,2.534608929251697162e+01,2.666917991638183594e+01,2.497001838684082031e+01
1.616161616161616053e+02,2.675591580452421070e+01,2.542566904654914595e+01,2.674643516540527344e+01,2.505634880065917969e+01
1.626262626262626441e+02,2.683939780396825370e+01,2.550500050000099961e+01,2.683003234863281250e+01,2.514381027221679688e+01
1.636363636363636260e+02,2.692262094262969896e+01,2.558408596267326729e+01,2.691503524780273438e+01,2.522970962524414062e+01
1.646464646464646648e+02,2.700558761370303174e+01,2.566292770877593199e+01,2.699544715881347656e+01,2.531474494934082031e+01
1.656565656565656468e+02,2.708830017373290033e+01,2.574152797769129108e+01,2.708807373046875000e+01,2.540032386779785156e+01
1.666666666666666856e+02,2.717076094339511982e+01,2.581988897471613242e+01,2.717266273498535156e+01,2.548471450805664062e+01
1.676767676767676676e+02,2.725297220825634525e+01,2.589801287178364930e+01,2.724672317504882812e+01,2.556916618347167969e+01
1.686868686868687064e+02,2.733493621951330610e+01,2.597590180816588301e+01,2.733246231079101562e+01,2.565458297729492188e+01
1.696969696969696884e+02,2.741665519471198564e+01,2.605355789115720100e+01,2.740960311889648438e+01,2.573890304565429688e+01
1.707070707070707272e+02,2.749813131844771519e+01,2.613098319673953185e+01,2.748504066467285156e+01,2.582483863830566406e+01
1.717171717171717091e+02,2.757936674304655966e+01,2.620817977022990064e+01,2.756754493713378906e+01,2.590816116333007812e+01
1.727272727272727479e+02,2.766036358922872651e+01,2.628514962691085444e+01,2.765503311157226562e+01,2.599078750610351562e+01
1.737373737373737299e+02,2.774112394675452720e+01,2.636189475264431437e+01,2.772996139526367188e+01,2.607256507873535156e+01
1.747474747474747687e+02,2.782164987505350950e+01,2.643841710446939430e+01,2.781652259826660156e+01,2.615216064453125000e+01
1.757575757575757507e+02,2.790194340383716565e+01,2.651471861118469064e+01,2.789514160156250000e+01,2.623171997070312500e+01
1.767676767676767895e+02,2.798200653369589475e+01,2.659080117391554055e+01,2.797594070434570312e+01,2.631002235412597656e+01
1.777777777777777715e+02,2.806184123668059271e+01,2.666666666666668206e+01,2.805418777465820312e+01,2.638823890686035156e+01
