x,true,terminal,branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.502267062664031982e-02
1.010101010101010187e-02,5.376481603960558443e-03,8.864319581977714996e-03,3.349351882934570312e-02
2.020202020202020374e-02,1.075241464798943822e-02,1.772773474152781678e-02,4.206268489360809326e-02
3.030303030303030387e-02,1.612725062812426710e-02,2.658934114850048172e-02,5.078876018524169922e-02
4.040404040404040747e-02,2.150044115233561495e-02,3.544823465729210477e-02,5.931898951530456543e-02
5.050505050505051108e-02,2.687143799647913681e-02,4.430351139909478875e-02,6.797455251216888428e-02
6.060606060606060774e-02,3.223969316023066883e-02,5.315426787411773463e-02,7.660402357578277588e-02
7.070707070707071829e-02,3.760465892299841295e-02,6.199960104377085640e-02,8.491402864456176758e-02
8.080808080808081495e-02,4.296578789980663726e-02,7.083860842280138848e-02,9.370297193527221680e-02
9.090909090909091161e-02,4.832253309714511225e-02,7.967038817137409024e-02,1.020733416080474854e-01
1.010101010101010222e-01,5.367434796877861014e-02,8.849403918708551031e-02,1.105155646800994873e-01
1.111111111111111188e-01,5.902068647151073599e-02,9.730866119690304017e-02,1.188773512840270996e-01
1.212121212121212155e-01,6.436100312089647335e-02,1.061133548490193479e-01,1.273410916328430176e-01
1.313131313131313260e-01,6.969475304689776163e-02,1.149072218046128940e-01,1.357192844152450562e-01
1.414141414141414366e-01,7.502139204947622098e-02,1.236893648295049331e-01,1.440984308719635010e-01
1.515151515151515194e-01,8.034037665411776497e-02,1.324588878857039520e-01,1.524484455585479736e-01
1.616161616161616299e-01,8.565116416728296711e-02,1.412148962228280680e-01,1.608643531799316406e-01
1.717171717171717404e-01,9.095321273177786603e-02,1.499564964693958780e-01,1.690680682659149170e-01
1.818181818181818232e-01,9.624598138203932507e-02,1.586827967239767545e-01,1.773403584957122803e-01
1.919191919191919338e-01,1.015289300993296590e-01,1.673929066461912751e-01,1.856043338775634766e-01
2.020202020202020443e-01,1.068015198668343518e-01,1.760859375475521127e-01,1.940737962722778320e-01
2.121212121212121271e-01,1.120632127246577459e-01,1.847610024821364771e-01,2.021771073341369629e-01
2.222222222222222376e-01,1.173134718247108299e-01,1.934172163370809217e-01,2.101611644029617310e-01
2.323232323232323482e-01,1.225517614854856746e-01,2.020536959228889651e-01,2.183120101690292358e-01
2.424242424242424310e-01,1.277775472467106155e-01,2.106695600635423715e-01,2.265089303255081177e-01
2.525252525252525415e-01,1.329902959238810911e-01,2.192639296864073162e-01,2.345764487981796265e-01
2.626262626262626521e-01,1.381894756626602938e-01,2.278359279119256953e-01,2.426901310682296753e-01
2.727272727272727626e-01,1.433745559931437763e-01,2.363846801430826983e-01,2.508895993232727051e-01
2.828282828282828731e-01,1.485450078839833654e-01,2.449093141546415942e-01,2.587878704071044922e-01
2.929292929292929282e-01,1.537003037963636243e-01,2.534089601821363780e-01,2.667872905731201172e-01
3.030303030303030387e-01,1.588399177378267690e-01,2.618827510106135903e-01,2.745508551597595215e-01
3.131313131313131493e-01,1.639633253159391846e-01,2.703298220631137339e-01,2.826735973358154297e-01
3.232323232323232598e-01,1.690700037917950149e-01,2.787493114888837664e-01,2.903808355331420898e-01
3.333333333333333703e-01,1.741594321333509165e-01,2.871403602513110664e-01,2.982052564620971680e-01
3.434343434343434809e-01,1.792310910685868675e-01,2.955021122155709334e-01,3.061661720275878906e-01
3.535353535353535914e-01,1.842844631384870924e-01,3.038337142359773813e-01,3.136966228485107422e-01
3.636363636363636465e-01,1.893190327498362746e-01,3.121343162430292306e-01,3.214788436889648438e-01
3.737373737373737570e-01,1.943342862278251704e-01,3.204030713301423416e-01,3.292102217674255371e-01
