runtime,l1_error,l2_error,rel_error
1.754132044315338135e+02,1.694677429592255757e+00,2.889798494512545890e+00,6.656098486164586936e-02
1.734141511917114258e+02,1.521701031124238268e+00,2.378078284182648883e+00,5.899277946138181683e-02
1.766847546100616455e+02,1.686527519619111182e+00,2.877823677588155160e+00,6.572917117868576353e-02
1.757898874282836914e+02,1.572413635646943142e+00,2.494294786955967957e+00,6.133963039674292933e-02
1.802645561695098877e+02,1.575466595089081823e+00,2.496385949600202547e+00,6.173496464644088327e-02
1.779493269920349121e+02,1.735067119991425599e+00,3.247167690306475230e+00,6.652588101451500924e-02
1.711965942382812500e+02,1.404662971889619083e+00,2.474781760972639244e+00,5.768924393716691468e-02
1.678874168395996094e+02,1.499579677974824055e+00,2.338795449607456778e+00,5.787538797689835424e-02
1.685087482929229736e+02,1.596541176235322101e+00,2.578619343000289721e+00,6.221439745488278189e-02
1.717803435325622559e+02,1.660496712123993968e+00,2.968600194794300151e+00,6.365111483728530528e-02
